Sample	percent_trimmed	bp_processed	r_processed	r_with_adapters	bp_written	quality_trimmed
Sample_IPO3916_A10_R1	2.9504791257253853	1208810484	9593734	2618666	1173144783	12518639
Sample_IPO3916_A10_R2	4.298914981945177	1208810484	9593734	2673042	1156844749	29620057
Sample_IPO3916_A11_R1	5.86944957583748	500429412	3971662	1296010	471056960	6764974
Sample_IPO3916_A11_R2	6.48956900239109	500429412	3971662	1318892	467953700	10442061
Sample_IPO3916_A12_R1	3.964294535079662	793522674	6297799	1821613	762065098	11685763
Sample_IPO3916_A12_R2	4.601758613390296	793522674	6297799	1873367	757006676	17186071
Sample_IPO3916_A1_R1	10.674972842352288	1824178608	14477608	6248268	1629448037	26798582
Sample_IPO3916_A1_R2	11.115225236760368	1824178608	14477608	6313141	1621417047	40016741
Sample_IPO3916_A2_R1	6.660953220173546	911225826	7231951	2513726	850529500	15408434
Sample_IPO3916_A2_R2	7.043570119357	911225826	7231951	2544210	847042996	20056864
Sample_IPO3916_A3_R1	8.461291315141821	463948002	3682127	1433963	424692010	6896312
Sample_IPO3916_A3_R2	8.832824114629984	463948002	3682127	1452467	422968291	9505369
Sample_IPO3916_A4_R1	3.4577423141115475	493449264	3916264	1155820	476387060	4697082
Sample_IPO3916_A4_R2	4.365867288029839	493449264	3916264	1202126	471905924	9503534
Sample_IPO3916_A5_R1	4.557818866631528	1028877570	8165695	2372885	981983194	13662912
Sample_IPO3916_A5_R2	5.4270441525904785	1028877570	8165695	2429237	973039930	23883696
Sample_IPO3916_A6_R1	7.635301644301571	932491476	7400726	2812091	861292939	13085789
Sample_IPO3916_A6_R2	8.440809168318875	932491476	7400726	2867535	853781650	22827370
Sample_IPO3916_A7_R1	6.802182035947306	1078691670	8561045	2967891	1005317099	15271283
Sample_IPO3916_A7_R2	7.384764916187773	1078691670	8561045	3025694	999032826	23134258
Sample_IPO3916_A8_R1	5.238552206965583	1123358796	8915546	2998201	1064511059	11998787
Sample_IPO3916_A8_R2	6.15907600014911	1123358796	8915546	3054197	1054170274	23963612
Sample_IPO3916_A9_R1	5.186559066568701	1441774152	11442652	3846493	1366995684	16786921
Sample_IPO3916_A9_R2	5.835454039961177	1441774152	11442652	3929361	1357640084	27674406
Sample_IPO3916_B10_R1	6.250303566580939	1505271096	11946596	4245481	1411187083	17936064
Sample_IPO3916_B10_R2	6.921346080241217	1505271096	11946596	4307295	1401086074	30351282
Sample_IPO3916_B11_R1	4.922215152064665	1013357898	8042523	2460060	963478242	14119738
Sample_IPO3916_B11_R2	5.537344418072518	1013357898	8042523	2506419	957244781	21249524
Sample_IPO3916_B12_R1	5.0489918645810015	1657424160	13154160	4351319	1573740949	17366946
Sample_IPO3916_B12_R2	5.625723773689892	1657424160	13154160	4440802	1564182055	28618946
Sample_IPO3916_B1_R1	5.669477452279685	1966504302	15607177	5379165	1855013784	17338822
Sample_IPO3916_B1_R2	6.595584249070206	1966504302	15607177	5463504	1836801854	38721306
Sample_IPO3916_B2_R1	4.955377520493522	966899430	7673805	2421905	918985913	11976920
Sample_IPO3916_B2_R2	6.183580333685789	966899430	7673805	2466356	907110427	25681077
Sample_IPO3916_B3_R1	11.065185876079687	1191730428	9458178	4236537	1059863241	18121273
Sample_IPO3916_B3_R2	11.538631369073341	1191730428	9458178	4279012	1054221047	27101607
Sample_IPO3916_B4_R1	6.742677933044898	539162442	4279067	1576435	502808455	6166249
Sample_IPO3916_B4_R2	7.686762053800476	539162442	4279067	1600670	497718308	12516379
Sample_IPO3916_B5_R1	5.24065234997906	496982556	3944306	1342759	470937428	5214879
Sample_IPO3916_B5_R2	6.135826425263908	496982556	3944306	1366855	466488569	10418413
Sample_IPO3916_B6_R1	7.248196807783779	470151486	3731361	1347371	436073981	7268167
Sample_IPO3916_B6_R2	7.734584295241385	470151486	3731361	1361877	433787223	10334255
Sample_IPO3916_B7_R1	6.680075792787203	802347588	6367838	2185559	748750161	12511901
Sample_IPO3916_B7_R2	6.9938000486641965	802347588	6367838	2220859	746233002	15883451
Sample_IPO3916_B8_R1	3.614441019588025	582424416	4622416	1365378	561373029	7286700
Sample_IPO3916_B8_R2	3.9307819815026437	582424416	4622416	1403516	559530582	9332966
Sample_IPO3916_B9_R1	1.8887530732203037	1139323626	9042251	2498128	1117804616	9036582
Sample_IPO3916_B9_R2	2.6798412060665897	1139323626	9042251	2572658	1108791562	18228005
Sample_IPO3916_C10_R1	6.018512483079634	1012077738	8032363	2819002	951165713	12393562
Sample_IPO3916_C10_R2	6.848163969791815	1012077738	8032363	2870377	942768995	22277600
Sample_IPO3916_C11_R1	5.728663228682542	1761488064	13980064	4604152	1660578345	22007271
Sample_IPO3916_C11_R2	6.372090069410769	1761488064	13980064	4675367	1649244458	35733691
Sample_IPO3916_C12_R1	5.759277158540808	955159380	7580630	2507290	900149104	11388264
Sample_IPO3916_C12_R2	6.6517561707869115	955159380	7580630	2567029	891624507	21273661
Sample_IPO3916_C1_R1	10.904008684736867	689227560	5470060	2441976	614074127	10102891
Sample_IPO3916_C1_R2	11.162310166470998	689227560	5470060	2458401	612293842	13338802
Sample_IPO3916_C2_R1	8.755464797946305	1696051728	13460728	5545475	1547554516	21385836
Sample_IPO3916_C2_R2	9.678797603276873	1696051728	13460728	5617221	1531894314	42080314
Sample_IPO3916_C3_R1	10.578820443350825	885499650	7027775	3092290	791824232	11761572
Sample_IPO3916_C3_R2	11.117598408988643	885499650	7027775	3117520	787053355	19169133
Sample_IPO3916_C4_R1	2.7967511102681293	601578558	4774433	1376922	584753903	4029174
Sample_IPO3916_C4_R2	4.619166296814721	601578558	4774433	1405954	573790644	15588279
Sample_IPO3916_C5_R1	4.378764110345045	642540276	5099526	1655374	614404953	7672252
Sample_IPO3916_C5_R2	5.522667344824934	642540276	5099526	1692296	607054914	15725077
Sample_IPO3916_C6_R1	5.999669579775455	1101276414	8740289	2825122	1035203468	18541049
Sample_IPO3916_C6_R2	6.515955312196489	1101276414	8740289	2885215	1029517735	25545777
Sample_IPO3916_C7_R1	7.802349841571964	688728474	5466099	2029092	634991469	10495274
Sample_IPO3916_C7_R2	8.203422703269853	688728474	5466099	2061464	632229166	14314026
Sample_IPO3916_C8_R1	6.2024397093111565	570868830	4530705	1586856	535461035	6649888
Sample_IPO3916_C8_R2	7.156478485609383	570868830	4530705	1614067	530014725	13097316
Sample_IPO3916_C9_R1	5.438485102723651	740291832	5875332	1882036	700031171	10467598
Sample_IPO3916_C9_R2	5.973391450305776	740291832	5875332	1915284	696071303	15198324
Sample_IPO3916_D10_R1	4.7589595093384185	1015057260	8056010	2568694	966751096	13877853
Sample_IPO3916_D10_R2	5.345681681051175	1015057260	8056010	2618672	960795530	20635786
Sample_IPO3916_D11_R1	7.39980590582762	424218816	3366816	1224271	392827447	5722183
Sample_IPO3916_D11_R2	8.567531808867242	424218816	3366816	1236158	387873734	11674559
Sample_IPO3916_D12_R1	5.425860623741815	1392107598	11048473	3722912	1316573780	15034521
Sample_IPO3916_D12_R2	6.210742770473694	1392107598	11048473	3770035	1305647376	27654277
Sample_IPO3916_D1_R1	11.639078563417847	1884161790	14953665	6992517	1664862719	26514966
Sample_IPO3916_D1_R2	12.14709549969167	1884161790	14953665	7045282	1655290858	42264507
Sample_IPO3916_D2_R1	12.49600355909407	3363561558	26694933	13482929	2943250786	47181148
Sample_IPO3916_D2_R2	13.280604273097119	3363561558	26694933	13511406	2916860258	87530624
Sample_IPO3916_D3_R1	9.711377987675203	478069704	3794204	1612920	431642548	6601316
Sample_IPO3916_D3_R2	10.532336096327912	478069704	3794204	1626044	427717796	12068367
Sample_IPO3916_D4_R1	9.350794448806893	1126798344	8942844	3563140	1021433747	17225746
Sample_IPO3916_D4_R2	9.899539042986028	1126798344	8942844	3598246	1015250502	26352386
Sample_IPO3916_D5_R1	6.977421854238175	718709418	5704043	2029879	668562030	9718810
Sample_IPO3916_D5_R2	7.858948774760595	718709418	5704043	2053538	662226413	17560179
Sample_IPO3916_D6_R1	5.339899773531998	1243102770	9865895	3121936	1176722328	18520944
Sample_IPO3916_D6_R2	6.3137976918835115	1243102770	9865895	3180763	1164615776	32414349
Sample_IPO3916_D7_R1	4.8047953427927315	623260386	4946511	1565757	593314000	8076280
Sample_IPO3916_D7_R2	5.4425897685722635	623260386	4946511	1604097	589338880	12628748
Sample_IPO3916_D8_R1	4.934958007767853	700101864	5556364	1722224	665552131	9689044
Sample_IPO3916_D8_R2	5.328404896233786	700101864	5556364	1767613	662797602	13013966
Sample_IPO3916_D9_R1	4.914957503366964	591096240	4691240	1381214	562044111	8718304
Sample_IPO3916_D9_R2	5.390459935931922	591096240	4691240	1407164	559233434	11979367
Sample_IPO3916_E10_R1	4.539998520019471	1045824570	8300195	2528916	998344150	12791655
Sample_IPO3916_E10_R2	5.171344750487168	1045824570	8300195	2580043	991741376	20364721
Sample_IPO3916_E11_R1	6.8767391555496955	1454445090	11543215	4234886	1354426695	18003619
Sample_IPO3916_E11_R2	7.854975741985556	1454445090	11543215	4286949	1340198781	34974139
Sample_IPO3916_E12_R1	6.146875058901572	874127772	6937522	2367377	820396230	12391398
Sample_IPO3916_E12_R2	6.716965857938673	874127772	6937522	2405297	815412908	18395754
Sample_IPO3916_E1_R1	8.655728168455473	1265513760	10043760	4088778	1155974329	16010897
Sample_IPO3916_E1_R2	9.493860659405236	1265513760	10043760	4113389	1145367647	30042871
Sample_IPO3916_E2_R1	13.785506449996934	473927202	3761327	1838089	408593937	12183042
Sample_IPO3916_E2_R2	14.66287221048772	473927202	3761327	1851873	404435862	18555369
Sample_IPO3916_E3_R1	9.421258998407179	874636182	6941557	2828403	792234442	12437221
Sample_IPO3916_E3_R2	9.896460354758112	874636182	6941557	2861775	788078159	18688076
Sample_IPO3916_E4_R1	12.203568821914855	595667268	4727518	2199502	522974603	8448186
Sample_IPO3916_E4_R2	13.05122594045238	595667268	4727518	2214360	517925387	16300871
Sample_IPO3916_E5_R1	7.554249710657916	603596952	4790452	1724065	557999731	10215930
Sample_IPO3916_E5_R2	8.441467080171737	603596952	4790452	1750696	552644514	17006765
Sample_IPO3916_E6_R1	4.470744002575921	332264898	2637023	785454	317410185	3976104
Sample_IPO3916_E6_R2	5.441077317773122	332264898	2637023	801211	314186108	7618883
Sample_IPO3916_E7_R1	5.335759829975074	718143174	5699549	1859602	679824779	9353439
Sample_IPO3916_E7_R2	5.902852597468259	718143174	5699549	1903813	675752241	14219772
Sample_IPO3916_E8_R1	5.654322351848367	417014640	3309640	1080070	393435288	5359983
Sample_IPO3916_E8_R2	6.3214140395646545	417014640	3309640	1103958	390653418	8666649
Sample_IPO3916_E9_R1	4.500769441229449	486625860	3862110	1219754	464723952	6105011
Sample_IPO3916_E9_R2	5.066614832183395	486625860	3862110	1252603	461970402	9203163
Sample_IPO3916_F10_R1	4.109175791809199	976219272	7747772	2346828	936104706	11835621
Sample_IPO3916_F10_R2	4.761421673715944	976219272	7747772	2402061	929737356	18985680
Sample_IPO3916_F11_R1	6.713714207092229	964411308	7654058	2569290	899663489	14757128
Sample_IPO3916_F11_R2	7.646495887001772	964411308	7654058	2604469	890667637	25478900
Sample_IPO3916_F12_R1	4.156987403364215	1233678600	9791100	2872663	1182394736	14994142
Sample_IPO3916_F12_R2	4.882354123675324	1233678600	9791100	2931506	1173446042	24965089
Sample_IPO3916_F1_R1	4.266240919578646	1994985342	15833217	4316708	1909874461	31506849
Sample_IPO3916_F1_R2	4.6822014695283904	1994985342	15833217	4445836	1901576109	41071982
Sample_IPO3916_F2_R1	13.01591563736269	600166728	4763228	2397802	522049533	8630720
Sample_IPO3916_F2_R2	13.758714395110552	600166728	4763228	2406377	517591502	15597703
