Sample	r_processed	percent_trimmed	bp_processed	bp_written	r_with_adapters	quality_trimmed
Sample_IPO3916_E7_R1	5699549	5.335759829975074	718143174	679824779	1859602	9353439
Sample_IPO3916_E7_R2	5699549	5.902852597468259	718143174	675752241	1903813	14219772
Sample_IPO3916_E8_R1	3309640	5.654322351848367	417014640	393435288	1080070	5359983
Sample_IPO3916_E8_R2	3309640	6.3214140395646545	417014640	390653418	1103958	8666649
Sample_IPO3916_E9_R1	3862110	4.500769441229449	486625860	464723952	1219754	6105011
Sample_IPO3916_E9_R2	3862110	5.066614832183395	486625860	461970402	1252603	9203163
Sample_IPO3916_F10_R1	7747772	4.109175791809199	976219272	936104706	2346828	11835621
Sample_IPO3916_F10_R2	7747772	4.761421673715944	976219272	929737356	2402061	18985680
Sample_IPO3916_F11_R1	7654058	6.713714207092229	964411308	899663489	2569290	14757128
Sample_IPO3916_F11_R2	7654058	7.646495887001772	964411308	890667637	2604469	25478900
Sample_IPO3916_F12_R1	9791100	4.156987403364215	1233678600	1182394736	2872663	14994142
Sample_IPO3916_F12_R2	9791100	4.882354123675324	1233678600	1173446042	2931506	24965089
Sample_IPO3916_F1_R1	15833217	4.266240919578646	1994985342	1909874461	4316708	31506849
Sample_IPO3916_F1_R2	15833217	4.6822014695283904	1994985342	1901576109	4445836	41071982
Sample_IPO3916_F2_R1	4763228	13.01591563736269	600166728	522049533	2397802	8630720
Sample_IPO3916_F2_R2	4763228	13.758714395110552	600166728	517591502	2406377	15597703
Sample_IPO3916_F3_R1	4020869	8.172521436345749	506629494	465225090	1516960	6996082
Sample_IPO3916_F3_R2	4020869	8.847749791685047	506629494	461804184	1528648	11602702
Sample_IPO3916_F4_R1	4972483	6.0209546104922715	626532858	588809599	1697852	6677594
Sample_IPO3916_F4_R2	4972483	6.670451751470631	626532858	584740286	1733270	11713758
Sample_IPO3916_F5_R1	2589	8.499022114317595	326214	298489	924	8745
Sample_IPO3916_F5_R2	2589	17.824189029287524	326214	268069	820	42932
Sample_IPO3916_F6_R1	4728786	7.001534754122838	595827036	554109999	1511061	14838325
Sample_IPO3916_F6_R2	4728786	7.464596823028352	595827036	551350950	1543563	18423597
Sample_IPO3916_F7_R1	8480013	5.843209913917117	1068481638	1006048013	2808422	13946393
Sample_IPO3916_F7_R2	8480013	6.259637659772306	1068481638	1001598559	2872027	19564795
Sample_IPO3916_F8_R1	7812852	4.724253836082654	984419352	937912883	2440143	10907211
Sample_IPO3916_F8_R2	7812852	5.8046353806340045	984419352	927277398	2479962	22804590
Sample_IPO3916_F9_R1	7222703	6.705053100322295	910060578	849040533	2398070	14934322
Sample_IPO3916_F9_R2	7222703	7.208840772355705	910060578	844455760	2436334	20848545
Sample_IPO3916_G10_R1	146898375	16.704583642014363	18509195250	15417311248	90694127	214126004
Sample_IPO3916_G10_R2	146898375	17.247695401559934	18509195250	15316785632	90701654	395520686
Sample_IPO3916_G11_R1	11730543	2.4454187399969194	1478048418	1441903945	3230808	11661020
Sample_IPO3916_G11_R2	11730543	3.399417257791077	1478048418	1427803385	3326426	26360879
Sample_IPO3916_G12_R1	66406439	18.50330009485404	8367211314	6819001095	42297963	125017124
Sample_IPO3916_G12_R2	66406439	18.91757454902017	8367211314	6784337876	42352503	188886662
Sample_IPO3916_G1_R1	24735666	12.691073928351711	3116693916	2721151987	12214312	42579105
Sample_IPO3916_G1_R2	24735666	13.394119321661357	3116693916	2699240214	12258839	77334203
Sample_IPO3916_G2_R1	11740055	12.845249913751722	1479246930	1289233965	5918531	17677869
Sample_IPO3916_G2_R2	11740055	13.332734515122501	1479246930	1282022864	5942833	29891998
Sample_IPO3916_G3_R1	5270511	5.545791435005972	664084386	627255651	1734165	7723793
Sample_IPO3916_G3_R2	5270511	6.350185893393373	664084386	621913793	1768057	14038923
Sample_IPO3916_G4_R1	8550252	6.1906083131948755	1077331752	1010638363	2986357	11770213
Sample_IPO3916_G4_R2	8550252	7.414463822467937	1077331752	997453379	3026979	27343172
Sample_IPO3916_G5_R1	47735421	16.52808410707435	6014663046	5020554479	27943577	86903611
Sample_IPO3916_G5_R2	47735421	16.800271125279593	6014663046	5004183347	28136148	114158894
Sample_IPO3916_G6_R1	5399894	7.49225950414159	680386644	629410311	1990937	8997964
Sample_IPO3916_G6_R2	5399894	8.41114320874294	680386644	623158349	2012368	16821563
Sample_IPO3916_G7_R1	10848896	6.674427283690198	1366960896	1275724085	3970410	18058407
Sample_IPO3916_G7_R2	10848896	7.351553456581102	1366960896	1266468035	4044550	29443353
Sample_IPO3916_G8_R1	4595090	4.7474156939151095	578981340	551494689	1426021	6393831
Sample_IPO3916_G8_R2	4595090	5.601238202253634	578981340	546551216	1453791	11990765
Sample_IPO3916_G9_R1	9151331	4.835333147384149	1153067706	1097313041	2802247	16790172
Sample_IPO3916_G9_R2	9151331	5.263555789845354	1153067706	1092375344	2875177	22577554
Sample_IPO3916_H10_R1	10387063	6.318971699974973	1308769938	1226069136	3429719	17915933
Sample_IPO3916_H10_R2	10387063	6.984364810494295	1308769938	1217360671	3522323	28529823
Sample_IPO3916_H11_R1	218441526	18.284024450465303	27523632276	22491204621	144882578	320178172
Sample_IPO3916_H11_R2	218441526	18.77058704023212	27523632276	22357284923	144827507	551508236
Sample_IPO3916_H12_R1	258893078	20.08176948435857	32620527828	26069748625	180392787	455244679
Sample_IPO3916_H12_R2	258893078	20.385287295357983	32620527828	25970739513	180320790	651766645
Sample_IPO3916_H1_R1	5902401	10.666987031317412	743702526	664371874	2700468	8135333
Sample_IPO3916_H1_R2	5902401	11.423250026718344	743702526	658747527	2719026	16104856
Sample_IPO3916_H2_R1	2838331	7.118378191995046	357629706	332172271	1073215	3002629
Sample_IPO3916_H2_R2	2838331	8.18312503380242	357629706	328364420	1085170	7684095
Sample_IPO3916_H3_R1	6354657	6.917211354689255	800686782	745301585	2228935	12283810
Sample_IPO3916_H3_R2	6354657	7.7635867604468585	800686782	738524769	2263206	20501302
Sample_IPO3916_H4_R1	6349787	5.554809623772882	800073162	755630621	2075501	11529317
Sample_IPO3916_H4_R2	6349787	6.189714685117759	800073162	750550916	2106299	17618777
Sample_IPO3916_H5_R1	4357778	8.909080918164447	549080028	500162044	1795395	6854979
Sample_IPO3916_H5_R2	4357778	10.057723498185588	549080028	493855077	1807450	14942621
Sample_IPO3916_H6_R1	6087978	10.241489358989456	767085228	688524276	2552501	12203334
Sample_IPO3916_H6_R2	6087978	10.881801911064828	767085228	683612533	2563463	19568405
Sample_IPO3916_H7_R1	7767382	6.066591463292694	978690132	919317000	2715435	12464004
Sample_IPO3916_H7_R2	7767382	6.636671902195086	978690132	913737679	2770481	19233376
Sample_IPO3916_H8_R1	4249492	3.779901669367045	535435992	515197038	1233863	6697752
Sample_IPO3916_H8_R2	4249492	4.37436488206792	535435992	512014068	1263843	10203084
Sample_IPO3916_H9_R1	3710857	5.681887559187062	467567982	441001295	1256343	5344536
Sample_IPO3916_H9_R2	3710857	6.670366920034315	467567982	436379482	1276504	10688257
Sample_IPO3917_A10_R1	3488656	3.4016017211121574	439570656	424618213	1051898	4226422
Sample_IPO3917_A10_R2	3488656	4.738074463278095	439570656	418743471	1073202	10778827
Sample_IPO3917_A11_R1	8264179	3.9289243525562707	1041286554	1000375193	2506273	12563615
Sample_IPO3917_A11_R2	8264179	4.7607132551142115	1041286554	991713887	2552072	22623526
Sample_IPO3917_A12_R1	9080892	3.5416130436916946	1144192392	1103669525	2543922	15406751
Sample_IPO3917_A12_R2	9080892	4.237981508969866	1144192392	1095701730	2607277	24546473
Sample_IPO3917_A1_R1	9506560	7.455529204495182	1197826560	1108522251	3776796	16748601
Sample_IPO3917_A1_R2	9506560	8.12210943126858	1197826560	1100537776	3824357	29409872
Sample_IPO3917_A2_R1	13518101	4.31057604769726	1703280726	1629859515	4103324	24060728
Sample_IPO3917_A2_R2	13518101	4.845366165436197	1703280726	1620750538	4236705	35751901
Sample_IPO3917_A3_R1	4325736	3.921094180035086	545042736	523671097	1257465	7103693
Sample_IPO3917_A3_R2	4325736	4.535508936679049	545042736	520322274	1289673	11166487
Sample_IPO3917_A4_R1	5661820	4.474653194976342	713389320	681467622	1706801	10372403
Sample_IPO3917_A4_R2	5661820	5.003860725024591	713389320	677692312	1762066	15224437
Sample_IPO3917_A5_R1	31007856	16.788445175835133	3906989856	3251067006	17840549	64982158
Sample_IPO3917_A5_R2	31007856	17.021194487585586	3906989856	3241973514	17925298	79908488
Sample_IPO3917_A6_R1	12194349	2.9075124410963986	1536487974	1491814395	3150200	20360849
Sample_IPO3917_A6_R2	12194349	3.7985156400579805	1536487974	1478124238	3258444	35438407
Sample_IPO3917_A7_R1	31364100	15.283160663468085	3951876600	3347904950	17910685	52751046
Sample_IPO3917_A7_R2	31364100	15.789260018898363	3951876600	3327904528	18011343	82047436
Sample_IPO3917_A8_R1	9158127	4.241268395074081	1153924002	1104982988	2807253	15503175
Sample_IPO3917_A8_R2	9158127	5.12017592992229	1153924002	1094841063	2866499	27508925
Sample_IPO3917_A9_R1	14423010	4.069120734688463	1817299260	1743351159	4339110	23407778
Sample_IPO3917_A9_R2	14423010	4.772761421803473	1817299260	1730563902	4444771	38845601
Sample_IPO3917_B10_R1	9432418	4.022917525764834	1188484668	1140672910	2976143	14137515
Sample_IPO3917_B10_R2	9432418	4.793554896746889	1188484668	1131514003	3047445	25121365
Sample_IPO3917_B11_R1	11490168	3.36518308936989	1447761168	1399041354	3402464	17241822
Sample_IPO3917_B11_R2	11490168	4.16809203988817	1447761168	1387417150	3483281	30262386
Sample_IPO3917_B12_R1	11609892	5.380944809412361	1462846392	1384131435	3879127	20183937
Sample_IPO3917_B12_R2	11609892	5.9338190581530315	1462846392	1376043734	3943356	31313684
Sample_IPO3917_B1_R1	5348109	8.069803827145346	673861734	619482414	2100772	9901664
Sample_IPO3917_B1_R2	5348109	8.789858811006471	673861734	614630239	2131631	17543605
Sample_IPO3917_B2_R1	3564185	4.1373796556397915	449087310	430506863	1090814	5178636
Sample_IPO3917_B2_R2	3564185	5.430281029316994	449087310	424700607	1115720	12185623
Sample_IPO3917_B3_R1	9450219	3.9447464925382416	1190727594	1143756409	2744986	17263082
Sample_IPO3917_B3_R2	9450219	4.62233161281723	1190727594	1135688216	2827594	26928300
Sample_IPO3917_B4_R1	8981341	3.0654832056816463	1131648966	1096958457	2293607	14949799
Sample_IPO3917_B4_R2	8981341	3.930352815786516	1131648966	1087171169	2355188	25916444
Sample_IPO3917_B5_R1	8307451	4.455755040465079	1046738826	1000098708	2636508	11508102
Sample_IPO3917_B5_R2	8307451	5.44730486571251	1046738826	989719771	2705669	24300806
Sample_IPO3917_B6_R1	9598997	4.05954855954684	1209473622	1160374453	2783955	17030859
Sample_IPO3917_B6_R2	9598997	4.863131029078367	1209473622	1150655335	2838274	28407254
Sample_IPO3917_B7_R1	10737093	4.561975162858475	1352873718	1291155955	3248133	20474278
Sample_IPO3917_B7_R2	10737093	5.0124306576262425	1352873718	1285061861	3318240	28322052
Sample_IPO3917_B8_R1	7784223	4.039819663806798	980812098	941189058	2341445	15005799
Sample_IPO3917_B8_R2	7784223	4.260136073484689	980812098	939028168	2398168	17944653
Sample_IPO3917_B9_R1	9922372	3.107294880123998	1250218872	1211370885	2861537	14397913
Sample_IPO3917_B9_R2	9922372	3.6862360689113	1250218872	1204132853	2934888	22649316
Sample_IPO3917_C10_R1	17049422	4.407629660127956	2148227172	2053541274	5101253	30869803
Sample_IPO3917_C10_R2	17049422	5.029303064787786	2148227172	2040186317	5244303	47205854
Sample_IPO3917_C11_R1	13523081	3.841670564734636	1703908206	1638449666	4141332	21137535
Sample_IPO3917_C11_R2	13523081	4.704429658694888	1703908206	1623749043	4247772	38200254
Sample_IPO3917_C12_R1	7975051	4.677644863864363	1004856426	957852811	2617289	12023392
Sample_IPO3917_C12_R2	7975051	5.398819233903172	1004856426	950606044	2671149	21123801
Sample_IPO3917_C1_R1	6061197	6.838417434393773	763710822	711485088	2178421	11922985
Sample_IPO3917_C1_R2	6061197	7.12352207574191	763710822	709307713	2207993	15990829
Sample_IPO3917_C2_R1	8909554	5.915344466443657	1122603804	1056197922	2930695	15479204
Sample_IPO3917_C2_R2	8909554	6.797719438335344	1122603804	1046292347	2973404	28839560
Sample_IPO3917_C3_R1	13018439	3.4526237917020786	1640323314	1583689121	3866427	19953976
Sample_IPO3917_C3_R2	13018439	4.2897080959248015	1640323314	1569958232	3967181	35763417
Sample_IPO3917_C4_R1	9216855	3.370834762844293	1161323730	1122177426	2503962	13342735
Sample_IPO3917_C4_R2	9216855	4.860511375239013	1161323730	1104877458	2551748	32602965
Sample_IPO3917_C5_R1	32574295	12.57765254123579	4104361170	3588128883	16493606	51195359
Sample_IPO3917_C5_R2	32574295	13.07593096150454	4104361170	3567677737	16585151	79446138
Sample_IPO3917_C6_R1	6126617	4.938968480316014	771953742	733827190	1978407	11797565
Sample_IPO3917_C6_R2	6126617	5.864734832777065	771953742	726680702	2027258	20533937
Sample_IPO3917_C7_R1	12510913	2.8805464375794054	1576375038	1530966823	3339748	21779677
Sample_IPO3917_C7_R2	12510913	3.234722624426637	1576375038	1525383678	3450656	28254448
Sample_IPO3917_C8_R1	9359921	2.598485674710356	1179350046	1148704804	2718359	11037830
Sample_IPO3917_C8_R2	9359921	3.66946515555569	1179350046	1136074207	2811697	24667690
Sample_IPO3917_C9_R1	11923023	4.273905586123133	1502300898	1438093976	3593157	19298707
Sample_IPO3917_C9_R2	11923023	4.8954820634075125	1502300898	1428756027	3677417	30896012
Sample_IPO3917_D10_R1	5165565	4.18452942324	650861190	623625712	1623656	8364783
Sample_IPO3917_D10_R2	5165565	4.984292733754796	650861190	618420363	1650962	14479378
Sample_IPO3917_D11_R1	9642020	3.4329534221621145	1214894520	1173187757	2704492	14329406
Sample_IPO3917_D11_R2	9642020	4.469974809006464	1214894520	1160589041	2755514	28365581
Sample_IPO3917_D12_R1	7143399	3.597455430364386	900068274	867688719	2054473	10953286
Sample_IPO3917_D12_R2	7143399	4.270299499524411	900068274	861632663	2097459	18007193
Sample_IPO3917_D1_R1	5835492	5.817225253427034	735271992	692499564	2030839	10397640
Sample_IPO3917_D1_R2	5835492	6.493096774995885	735271992	687530070	2072381	17390497
Sample_IPO3917_D2_R1	5858490	5.42718928034086	738169740	698107871	1909098	10756924
Sample_IPO3917_D2_R2	5858490	6.542463255131537	738169740	689875256	1936513	21009876
Sample_IPO3917_D3_R1	4290647	5.319736050019851	540621522	511861884	1412270	6135626
Sample_IPO3917_D3_R2	4290647	6.314327789562177	540621522	506484907	1434721	13148807
Sample_IPO3917_D4_R1	10120750	4.232868587990491	1275214500	1221236346	3075207	15794131
Sample_IPO3917_D4_R2	10120750	5.078426178497813	1275214500	1210453673	3150546	29041368
Sample_IPO3917_D5_R1	43832364	16.866776396994755	5522877864	4591346404	26254398	74221554
Sample_IPO3917_D5_R2	43832364	17.41526341311103	5522877864	4561054136	26277926	121428967
Sample_IPO3917_D6_R1	5876003	3.92068073246929	740376378	711348584	1787865	10034842
Sample_IPO3917_D6_R2	5876003	5.363188667264584	740376378	700668596	1835893	22015078
Sample_IPO3917_D7_R1	9005121	4.298872195688907	1134645246	1085868297	2558790	18027921
Sample_IPO3917_D7_R2	9005121	4.850244531849032	1134645246	1079612177	2624648	25670339
Sample_IPO3917_D8_R1	2620956	3.4414102795449146	330240456	318875527	723682	4619406
Sample_IPO3917_D8_R2	2620956	3.907434950974026	330240456	317336525	745483	6447403
Sample_IPO3917_D9_R1	10328557	3.651764053255762	1301398182	1253874191	2931519	16571518
Sample_IPO3917_D9_R2	10328557	4.278453033830963	1301398182	1245718472	3005398	26206547
Sample_IPO3917_E10_R1	9211968	4.3879503203341494	1160707968	1109776679	2873531	15811350
Sample_IPO3917_E10_R2	9211968	5.208894887159075	1160707968	1100247910	2920693	27252029
Sample_IPO3917_E11_R1	8493239	3.497775262163383	1070148114	1032716738	2286262	18049198
Sample_IPO3917_E11_R2	8493239	4.308304280205459	1070148114	1024042877	2364949	27635582
Sample_IPO3917_E12_R1	7957380	4.00426516313278	1002629880	962481921	2397923	11742480
Sample_IPO3917_E12_R2	7957380	4.64955293373064	1002629880	956012073	2454069	19543860
Sample_IPO3917_E1_R1	6335020	3.670684218283121	798212520	768912659	1885064	8509429
Sample_IPO3917_E1_R2	6335020	4.745880332721416	798212520	760330309	1929595	18371812
Sample_IPO3917_E2_R1	6310393	5.413968896797938	795109518	752062536	2134000	10209849
Sample_IPO3917_E2_R2	6310393	6.313673634076658	795109518	744908898	2171111	19535985
Sample_IPO3917_E3_R1	8480293	7.381847743472041	1068516918	989640626	3123366	16879705
Sample_IPO3917_E3_R2	8480293	7.992186699284437	1068516918	983119051	3164291	27076456
Sample_IPO3917_E4_R1	10031922	5.150128252655366	1264022172	1198923409	3180866	19545034
Sample_IPO3917_E4_R2	10031922	5.962480379655872	1264022172	1188655098	3253309	33426860
Sample_IPO3917_E5_R1	9092794	4.352498148272033	1145692044	1095825819	2730962	17703080
Sample_IPO3917_E5_R2	9092794	5.3542689173112565	1145692044	1084348611	2781389	31343243
Sample_IPO3917_E6_R1	10663350	3.720857474954452	1343582100	1293589325	2989158	18352358
Sample_IPO3917_E6_R2	10663350	4.836151583144789	1343582100	1278604433	3062938	35414187
Sample_IPO3917_E7_R1	11944932	5.2305003188733625	1505061432	1426339189	3647204	23767161
Sample_IPO3917_E7_R2	11944932	5.857911652339784	1505061432	1416896263	3730747	36110029
Sample_IPO3917_E8_R1	7453164	3.717726830883874	939098664	904185541	2174154	13422243
Sample_IPO3917_E8_R2	7453164	4.478929063836897	939098664	897037101	2226869	21644023
Sample_IPO3917_E9_R1	9136015	3.5466213348254914	1151137890	1110311388	2661042	15805078
Sample_IPO3917_E9_R2	9136015	4.452998936556592	1151137890	1099877732	2737391	27430351
Sample_IPO3917_F10_R1	2674147	4.540803846657265	336942522	321642623	816681	4566640
Sample_IPO3917_F10_R2	2674147	5.6847152702204795	336942522	317788299	827996	9076931
Sample_IPO3917_F11_R1	7444405	4.093594717660711	937995030	899597315	2319366	13140664
Sample_IPO3917_F11_R2	7444405	5.029065665731726	937995030	890822644	2379844	23215834
Sample_IPO3917_F12_R1	9457716	4.3454559319859145	1191672216	1139888625	2909250	14557430
Sample_IPO3917_F12_R2	9457716	5.200940088041794	1191672216	1129694058	2972026	26762788
Sample_IPO3917_F1_R1	4133362	5.39228787069165	520803612	492720382	1296864	8461429
Sample_IPO3917_F1_R2	4133362	5.884185380803388	520803612	490158562	1333188	12084903
Sample_IPO3917_F2_R1	7242213	3.1926769932611516	912518838	883385059	2164714	9385856
Sample_IPO3917_F2_R2	7242213	4.086185670612972	912518838	875231624	2213810	18513020
Sample_IPO3917_F3_R1	4185640	7.333548240446588	527390640	488714193	1572885	7584615
Sample_IPO3917_F3_R2	4185640	8.177144933781912	527390640	484265143	1592949	14035225
Sample_IPO3917_F4_R1	7829275	6.080597683511107	986488650	926504244	2698148	15333974
Sample_IPO3917_F4_R2	7829275	6.815979585776279	986488650	919249785	2760590	25782574
Sample_IPO3917_F5_R1	9983519	4.585283354703236	1257923394	1200244042	3046920	17942056
